post_id,title,category,score,num_comments,author,collected_at
47753689,Building a CLI for All of Cloudflare,technology,112,34,soheilpro,2026-04-13T23:31:53.133636
47750872,Servo is now available on crates.io,technology,288,93,ffin,2026-04-13T23:31:54.354362
47752466,MEMS Array Chip Can Project Video the Size of a Grain of Sand,technology,36,8,bookofjoe,2026-04-13T23:31:58.052678
47751621,Initial mainline video capture and camera support for Rockchip RK3588,technology,42,11,mfilion,2026-04-13T23:32:00.332528
47750821,Michigan 'digital age' bills pulled after privacy concerns raised,technology,151,76,iamnothere,2026-04-13T23:32:04.505713
47748064,The economics of software teams: Why most engineering orgs are flying blind,technology,353,206,kiyanwang,2026-04-13T23:32:06.138911
47754002,Missouri town fires half its city council over data center deal,technology,69,67,impish9208,2026-04-13T23:32:18.939855
47719490,I gave every train in New York an instrument,technology,367,70,joshuawolk,2026-04-13T23:32:20.275475
47744255,I ran Gemma 4 as a local model in Codex CLI,technology,202,87,dvaughan,2026-04-13T23:32:21.612767
47738978,"We have a 99% email reputation, but Gmail disagrees",technology,337,290,em-bee,2026-04-13T23:32:25.598441
47738883,Tell HN: Docker pull fails in Spain due to football Cloudflare block,technology,1081,394,littlecranky67,2026-04-13T23:32:26.820331
47733217,Exploiting the most prominent AI agent benchmarks,technology,561,136,Anon84,2026-04-13T23:32:28.049333
47749674,Show HN: I built a social media management tool in 3 weeks with Claude and Codex,technology,163,111,JanSchu,2026-04-13T23:32:30.309340
47750259,Point Cloud Allemansrätten,technology,33,4,ColinWright,2026-04-13T23:32:31.574215
47747017,"Apple's accidental moat: How the ""AI Loser"" may end up winning",technology,368,331,walterbell,2026-04-13T23:32:32.678944
47753643,Claude.ai down,technology,114,113,rob,2026-04-13T23:32:35.584804
47749222,"Caffeine, cocaine, and painkillers detected in sharks from The Bahamas",technology,64,50,LostMyLogin,2026-04-13T23:32:46.551241
47753026,Categorization Is 'Baked' into the Brain,technology,6,1,XzetaU8,2026-04-13T23:32:51.121939
47738864,Why AI Sucks at Front End,technology,101,144,tobr,2026-04-13T23:32:53.929721
47743819,Basics of Radar Technology,technology,37,0,_Microft,2026-04-13T23:32:58.408202
47751032,"AI could be the end of the digital wave, not the next big thing",technology,164,237,surprisetalk,2026-04-13T23:33:02.223885
47741531,"Bouncer: Block ""crypto"", ""rage politics"", and more from your X feed using AI",technology,52,99,steveharing1,2026-04-13T23:33:04.054465
47751265,Rockstar hackers set to release GTA 6 data breach as 'demands not met',technology,15,7,01-_-,2026-04-13T23:33:04.969467
47741889,Show HN: Claudraband – Claude Code for the Power User,technology,114,42,halfwhey,2026-04-13T23:33:05.889244
47736555,I run multiple $10K MRR companies on a $20/month tech stack,technology,914,493,tradertef,2026-04-13T23:33:09.491891
47755118,Palantir Stock Continues to Fall. Not Even the President Can Erase the Losses,worldnews,7,0,1vuio0pswjnm7,2026-04-13T23:34:41.658382
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,433,275,neversaydie,2026-04-13T23:34:52.312424
47745261,Vegetative Patients May Be More Aware Than We Knew,worldnews,34,13,bookofjoe,2026-04-13T23:35:31.513110
47745230,Sam Altman's home targeted in second attack,worldnews,144,318,babelfish,2026-04-13T23:35:36.118942
47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,284,135,jkl5xx,2026-04-13T23:35:48.258842
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,392,367,chabons,2026-04-13T23:37:30.587232
47729994,Polymarket gamblers betting millions on war,worldnews,158,127,sandebert,2026-04-13T23:37:34.199397
47693960,Flashback to a time when government reports were works of art,worldnews,30,12,NaOH,2026-04-13T23:37:51.697073
47722566,DOJ wants to scrap Watergate-era rule that makes presidential records public,worldnews,261,69,tlhunter,2026-04-13T23:38:25.629296
47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,76,39,breve,2026-04-13T23:38:38.388054
47711623,Mexico's President Sheinbaum Decrees Universal Healthcare for 120M,worldnews,61,32,testing22321,2026-04-13T23:39:30.613996
47725942,Warez Scene,worldnews,25,7,maltalex,2026-04-13T23:40:15.203649
47731064,Valve Developer Improves the Linux Gaming Experience for Limited VRAM Hardware,worldnews,13,0,bpierre,2026-04-13T23:40:26.050940
47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,sports,217,78,m-hodges,2026-04-13T23:41:08.742935
47741460,How long-distance couples use digital games to facilitate intimacy (2025),sports,121,37,radeeyate,2026-04-13T23:41:48.308453
47749295,Show HN: Equirect – a Rust VR video player,sports,10,1,greggman65,2026-04-13T23:41:52.336896
47747248,"Haunt, the 70s text adventure game, is now playable on a website",sports,77,23,jscalo,2026-04-13T23:42:13.392398
47698455,Starfling: A one-tap endless orbital slingshot game in a single HTML file,sports,620,152,iceberger2001,2026-04-13T23:42:35.215269
47698111,Bevy game development tutorials and in-depth resources,sports,137,62,GenericCanadian,2026-04-13T23:42:51.478237
47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,sports,237,55,joko42,2026-04-13T23:43:06.545609
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,119,36,pruz,2026-04-13T23:45:35.520578
47704430,Can It Resolve Doom? Game Engine in 2k DNS Records,sports,10,2,choult,2026-04-13T23:45:51.229177
47723243,Combining spicy foods with mint boosts anti-inflammatory effects 100x or more,sports,87,49,joeax,2026-04-13T23:46:08.011228
47717514,"Inflation Rose to 3.3% in March, Driven by Rising Fuel Costs",sports,63,3,JumpCrisscross,2026-04-13T23:46:37.047490
47730916,QB64 Tutorial A beginner's introduction to game programming,sports,7,0,AlexeyBrin,2026-04-13T23:47:08.936024
47717565,"Show HN: Steadcast – Free Mac podcast player for learning, not background noise",sports,7,1,steadcast,2026-04-13T23:47:59.491811
47733776,"Amazon Luna Will No Longer Allow Owners to Buy Games, Access Game Stores",sports,15,2,surgical_fire,2026-04-13T23:48:38.962703
47738343,The Physics of GPS,science,153,34,maouida,2026-04-13T23:50:00.638530
47745543,New metal with triple copper's heat conduction challenges fundamental physics,science,29,11,thunderbong,2026-04-13T23:51:09.532426
47701769,The Bra-and-Girdle Maker That Fashioned the Impossible for NASA,science,133,19,sohkamyung,2026-04-13T23:51:10.405108
47728323,Relics of the Heroic Age of Manned Space Flight,science,20,1,zdgeier,2026-04-13T23:51:26.825330
47708818,Native Instant Space Switching on macOS,science,640,326,PaulHoule,2026-04-13T23:51:38.741815
47733222,Show HN: Bitcoin and Quantum Computing – a three-part research series,science,6,1,nvk,2026-04-13T23:54:27.628923
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,474,269,a-ve,2026-04-13T23:57:06.072059
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,229,78,Rochus,2026-04-13T23:57:21.348389
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,48,0,mooreds,2026-04-13T23:57:47.504874
47724352,Filing the corners off my MacBooks,entertainment,1383,660,normanvalentine,2026-04-13T23:57:56.674730
47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,75,14,anigbrowl,2026-04-13T23:58:53.964357
47745300,Show HN: A social feed with no strangers,entertainment,8,5,rpatni,2026-04-13T23:59:02.210420
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-13T23:59:10.332579
47699470,The Life and Death of the Book Review,entertainment,30,7,lermontov,2026-04-13T23:59:42.327779
47722011,Show HN: A WYSIWYG word processor in Python,entertainment,87,39,chrisecker,2026-04-13T23:59:45.918039
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,174,166,randerson_112,2026-04-13T23:59:49.471426
47721255,Show HN: Eve – Managed OpenClaw for work,entertainment,71,39,zachdive,2026-04-13T23:59:54.064824
47730522,Show HN: Waffle – Native macOS terminal that auto-tiles sessions into a grid,entertainment,38,20,olleeolleeollee,2026-04-13T23:59:58.719025
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,48,25,behat,2026-04-14T00:00:03.135608
47736071,The Universal Standard Book Number,entertainment,13,4,novalis78,2026-04-14T00:00:10.253703
47715339,Show HN: Keeper – embedded secret store for Go (help me break it),entertainment,63,33,babawere,2026-04-14T00:00:41.813177
47733479,Show HN: A Better Internet,entertainment,10,3,tclancy,2026-04-14T00:01:08.933916
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,147,158,latchkey,2026-04-14T00:01:19.074430
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,62,12,rvitorper,2026-04-14T00:01:31.613456
47710835,"Show HN: Rust based eBook library for Python, with MIT license",entertainment,33,3,larry-the-agent,2026-04-14T00:01:35.158831
47696562,Show HN: Is Hormuz open yet?,entertainment,482,209,anonfunction,2026-04-14T00:01:36.932381
47704259,"Show HN: Guruka.com – free guided mediations. No signup, private, works offline",entertainment,39,16,eummm,2026-04-14T00:01:37.829238
47716617,Show HN: Do All the Things,entertainment,26,8,brainbun,2026-04-14T00:02:04.148019
47702791,Show HN: 41 years sea surface temperature anomalies,entertainment,147,73,willmeyers,2026-04-14T00:02:33.705416
47730540,Show HN: We scanned uscis.gov for third-party trackers. The results are jarring,entertainment,6,0,simple_elephant,2026-04-14T00:02:47.908165
47736637,CDC director delays report showing Covid vaccine benefits,entertainment,24,2,iamflimflam1,2026-04-14T00:02:52.371673
